ranking_date,rank,player,points
20220411,1045,208874,10
20220411,1046,207391,10
20220411,1047,202354,10
20220411,1048,200197,10
20220411,1049,210132,9
20220411,1049,210399,9
20220411,1051,103175,9
20220411,1052,207219,9
20220411,1053,202307,9
20220411,1054,110774,9
20220411,1055,105088,9
20220411,1056,208165,9
20220411,1057,105296,9
20220411,1057,105434,9
20220411,1059,207183,9
20220411,1060,210211,9
20220411,1061,207130,9
20220411,1062,200142,9
20220411,1063,200456,9
20220411,1064,200270,9
20220411,1065,126092,9
20220411,1066,207893,9
20220411,1067,202321,9
20220411,1067,108772,9
20220411,1069,106021,9
20220411,1070,106247,9
20220411,1070,207352,9
20220411,1072,200383,9
20220411,1073,210136,9
20220411,1073,208597,9
20220411,1075,200279,9
20220411,1076,208147,9
20220411,1077,210052,9
20220411,1078,208861,9
20220411,1079,200014,9
20220411,1080,209871,9
20220411,1080,208223,9
20220411,1082,208819,9
20220411,1083,200466,9
20220411,1084,111163,9
20220411,1085,209080,9
20220411,1086,131888,9
20220411,1087,131912,9
20220411,1088,209930,9
20220411,1089,206576,9
20220411,1090,123858,9
20220411,1091,132374,9
20220411,1092,209875,9
20220411,1093,200671,9
20220411,1094,124126,9
20220411,1095,117362,9
20220411,1096,111784,8
20220411,1097,105688,8
20220411,1098,210319,8
20220411,1099,202113,8
20220411,1100,202187,8
20220411,1100,207232,8
20220411,1102,208125,8
20220411,1103,207545,8
20220411,1104,208003,8
20220411,1104,105827,8
20220411,1104,126488,8
20220411,1107,105843,8
20220411,1108,200465,8
20220411,1109,200289,8
20220411,1110,208566,8
20220411,1111,208049,8
20220411,1112,144703,8
20220411,1113,207601,8
20220411,1114,105421,8
20220411,1115,200234,8
20220411,1115,202204,8
20220411,1117,201945,8
20220411,1118,126530,8
20220411,1118,200307,8
20220411,1120,207457,8
20220411,1121,207988,8
20220411,1122,210250,8
20220411,1122,144807,8
20220411,1122,202271,8
20220411,1125,105874,8
20220411,1126,209203,8
20220411,1127,209518,8
20220411,1128,144915,8
20220411,1129,209904,8
20220411,1130,207815,8
20220411,1131,202148,8
20220411,1131,126219,8
20220411,1133,109732,8
20220411,1134,144932,8
20220411,1135,138652,7
20220411,1136,138860,7
20220411,1137,105869,7
20220411,1137,105085,7
20220411,1139,122357,7
20220411,1140,209513,7
20220411,1141,105283,7
20220411,1142,200607,7
20220411,1143,106333,7
20220411,1144,106327,7
20220411,1145,210122,7
20220411,1146,209281,7
20220411,1147,200310,7
20220411,1148,202315,7
20220411,1149,106396,7
20220411,1150,208649,7
20220411,1151,134376,7
20220411,1152,106191,7
20220411,1153,104917,7
20220411,1154,208485,7
20220411,1155,209951,7
20220411,1156,208285,7
20220411,1157,144641,7
20220411,1157,202161,7
20220411,1159,206489,7
20220411,1160,207506,7
20220411,1161,207535,7
20220411,1162,209338,7
20220411,1163,110762,7
20220411,1164,111447,7
20220411,1165,132535,7
20220411,1166,210230,7
20220411,1167,106106,7
20220411,1167,126450,7
20220411,1169,134429,7
20220411,1170,202346,7
20220411,1171,207383,7
20220411,1171,207557,7
20220411,1173,126720,7
20220411,1174,134545,7
20220411,1175,144940,6
20220411,1176,105780,6
20220411,1177,123920,6
20220411,1178,123742,6
20220411,1178,127300,6
20220411,1178,209516,6
20220411,1178,106074,6
20220411,1182,144773,6
20220411,1183,120545,6
20220411,1184,105787,6
20220411,1185,200291,6
20220411,1185,208467,6
20220411,1187,144935,6
20220411,1188,121816,6
20220411,1189,122609,6
20220411,1190,208865,6
20220411,1190,210175,6
20220411,1190,208124,6
20220411,1193,209384,6
20220411,1194,207708,6
20220411,1195,207968,6
20220411,1196,134786,6
20220411,1197,200345,6
20220411,1197,122620,6
20220411,1197,132299,6
20220411,1200,122393,6
20220411,1201,126335,6
20220411,1201,144731,6
20220411,1201,125816,6
