ranking_date,rank,player,points
20220307,1045,209882,10
20220307,1046,126488,10
20220307,1047,105296,10
20220307,1048,134376,10
20220307,1049,125848,10
20220307,1050,201987,10
20220307,1051,202321,10
20220307,1052,105421,10
20220307,1053,209977,10
20220307,1054,202338,10
20220307,1055,208861,10
20220307,1056,105892,10
20220307,1057,138846,10
20220307,1058,209060,10
20220307,1059,126629,10
20220307,1059,208874,10
20220307,1061,106106,10
20220307,1062,208182,10
20220307,1063,209875,10
20220307,1064,117362,10
20220307,1065,210132,9
20220307,1065,210399,9
20220307,1067,103175,9
20220307,1068,200059,9
20220307,1069,202307,9
20220307,1070,110774,9
20220307,1071,105088,9
20220307,1072,208165,9
20220307,1073,144935,9
20220307,1074,105434,9
20220307,1075,105869,9
20220307,1076,210211,9
20220307,1077,207130,9
20220307,1078,200142,9
20220307,1078,208865,9
20220307,1080,207893,9
20220307,1081,210052,9
20220307,1082,200372,9
20220307,1083,200456,9
20220307,1084,208597,9
20220307,1085,206923,9
20220307,1086,108772,9
20220307,1087,208223,9
20220307,1088,210044,9
20220307,1089,209931,9
20220307,1090,209956,9
20220307,1091,207457,9
20220307,1092,126092,9
20220307,1093,110762,9
20220307,1094,111163,9
20220307,1095,105874,9
20220307,1096,144650,9
20220307,1097,126219,9
20220307,1098,200250,9
20220307,1099,106051,9
20220307,1100,200462,9
20220307,1101,106016,9
20220307,1101,209362,9
20220307,1103,206576,9
20220307,1104,132374,9
20220307,1105,202354,9
20220307,1106,123858,9
20220307,1107,110773,9
20220307,1108,200197,9
20220307,1109,124126,9
20220307,1110,111784,8
20220307,1111,105688,8
20220307,1112,202187,8
20220307,1112,207232,8
20220307,1114,105085,8
20220307,1115,123920,8
20220307,1116,127300,8
20220307,1117,106022,8
20220307,1117,208125,8
20220307,1119,104746,8
20220307,1120,208003,8
20220307,1121,209281,8
20220307,1122,200465,8
20220307,1123,134786,8
20220307,1124,202204,8
20220307,1125,200279,8
20220307,1126,200234,8
20220307,1127,144703,8
20220307,1128,122620,8
20220307,1129,104917,8
20220307,1130,208147,8
20220307,1131,144807,8
20220307,1132,209080,8
20220307,1133,132495,8
20220307,1134,133880,8
20220307,1135,207988,8
20220307,1136,202161,8
20220307,1137,106160,8
20220307,1138,126170,8
20220307,1139,202346,8
20220307,1140,109732,8
20220307,1141,126171,8
20220307,1142,202147,8
20220307,1143,126720,8
20220307,1144,200671,8
20220307,1145,144932,8
20220307,1146,207383,8
20220307,1147,105662,8
20220307,1148,138860,7
20220307,1149,105836,7
20220307,1150,104672,7
20220307,1151,138652,7
20220307,1152,122357,7
20220307,1153,210122,7
20220307,1154,200607,7
20220307,1155,106333,7
20220307,1156,200310,7
20220307,1157,209513,7
20220307,1158,208049,7
20220307,1159,208649,7
20220307,1159,106191,7
20220307,1159,144773,7
20220307,1162,200270,7
20220307,1163,202315,7
20220307,1164,105438,7
20220307,1165,208566,7
20220307,1166,208124,7
20220307,1167,133301,7
20220307,1168,200307,7
20220307,1169,208876,7
20220307,1169,210250,7
20220307,1169,208485,7
20220307,1172,132575,7
20220307,1173,208819,7
20220307,1174,200323,7
20220307,1175,106396,7
20220307,1176,106254,7
20220307,1177,206489,7
20220307,1178,207506,7
20220307,1178,126335,7
20220307,1180,207408,7
20220307,1180,144641,7
20220307,1182,134205,7
20220307,1182,209518,7
20220307,1184,132535,7
20220307,1184,144890,7
20220307,1186,207535,7
20220307,1187,209247,7
20220307,1188,209930,7
20220307,1189,131888,7
20220307,1189,111447,7
20220307,1191,144915,7
20220307,1192,123932,7
20220307,1193,134429,7
20220307,1194,207249,7
20220307,1195,132741,7
20220307,1196,207606,7
20220307,1197,208265,7
20220307,1198,134545,7
20220307,1199,144940,6
20220307,1200,105047,6
20220307,1201,105154,6
20220307,1201,126166,6
20220307,1203,105429,6
20220307,1204,105456,6
20220307,1205,103607,6
20220307,1206,123785,6
20220307,1207,123742,6
20220307,1207,209516,6
20220307,1207,106074,6
20220307,1210,209384,6
20220307,1211,105780,6
20220307,1212,200291,6
20220307,1212,210175,6
20220307,1214,207601,6
